#54001: 	#ame Thunder over the jungle
#54002: 	#ame Another day, another morning, another reconnaissance mission. Get up, you have a long journey ahead!
#54003: 	#ame March 1, 1967, 0515 a.m.
#54004: 	#ame Cambodia, near the Ho-Chi-Minh Trail 
#54005: 	#ame March 1, 1967, 0530 a. m.
#54006: 	#ame Jungle in South Vietnam, close to the Cambodian border
#54007: 	#ame Thunder over the jungle
#54008: 	#ame An American plane has crashed nearby. The pilot must be found before the Vietcong can get him. Go, go, go, soldiers!
#54009: 	#ame Check the crash site
#54010: 	#ame Find the pilot
#54011: 	#ame Take the pilot to the landing zone
#54012: 	#ame Fly with the entire team and the rescued pilot to the base
#54014: 	#ame Rescue the captured pilot
#54015: 	#ame Blow up the cache
#54016: 	#ame to untie the pilot
#54017: 	#ame Thunder over the jungle
#54018: 	#ame Wrecked plane, pilot nowhere to be seen. He was parachuting nearby, look for him, soldiers!
#54019: 	#ame Thunder over the jungle
#54020: 	#ame The jungle is swarming with the Vietcong, this rescue mission will surely be interesting! Hurry or the enemy will get to the pilot first!
#54021: 	#ame Thunder over the jungle
#54022: 	#ame Charlie’s nest is here, all the VC have swarmed out of it like ants! But you still have to complete the task – find the pilot!
#54023: 	#ame Thunder over the jungle
#54024: 	#ame You found the parachute hanging on the tree but the pilot is nowhere to be seen. It looks like the enemy found him. You have to find and rescue him immediately!
#54025: 	#ame Thunder over the jungle
#54026: 	#ame The pilot of the shot-down Thunderchief is held captive by a Vietcong group. Do you know what that means, soldier? A rescue operation! You must rescue the pilot immediately!
#54027: 	#ame Thunder over the jungle
#54028: 	#ame Good job, the pilot is safe for now. Now you need to find a suitable spot for landing and call the chopper. So, get going, soldiers!
#54029: 	#ame Thunder over the jungle
#54030: 	#ame The pilot was rescued. You must now take him to the landing zone, wait for the chopper and the mission will be complete.
#54031: 	#ame Thunder over the jungle
#54032: 	#ame Charlie has a den in the jungle around here. But don’t let that distract you. Proceed to the landing zone.
#54033: 	#ame Thunder over the jungle
#54034: 	#ame You found a landing zone, now you need to wait for the chopper to pick you up!
#54035: 	#ame to check the pilot
	
	
	
	
	
#54041: 	#ame Operation Golden Gift
#54042: 	#ame The time to move from Pleiku and build your own camp has finally come.  The chopper will drop you at the village nearest the future base. Talk and introduce yourself to the Montagnards of the Jarai tribe, and then explore the area near the hill where your base will be located. Be careful and watch for any bad neighbors! 
#54043: 	#ame March 18, 1967 - 0925 a.m.
#54044: 	#ame Jarai Village close to Nui Pek hill
#54045: 	#ame Visit the Jarai village
#54046: 	#ame Talk to the village chief.
#54047: 	#ame Explore the area around the village.
#54048: 	#ame Operation Golden Gift
#54049: 	#ame Villagers look quite friendly but the Vietcong supposedly came to their village and now it seems something is going to happen here. Is Charlie coming back?!
#54050: 	#ame Assist villagers in protecting their village against the Vietcong!
#54057: 	#ame Follow Lim the hunter to the enemy positions.
#54051: 	#ame Operation Golden Gift
#54052: 	#ame You have just been dropped near the Jarai village. Talk and introduce yourself to the Montagnards of the Jarai tribe, and then explore the area near the hill where your base will be located. Be on your guard and watch for any bad company! 
#54053: 	#ame Operation Golden Gift
#54054: 	#ame Charlie attacked the village with their typical impudence just as you showed up. You drove the first strike off with the help of the villagers but it seems it’s still not over! 
#54055: 	#ame Operation Golden Gift
#54056: 	#ame It's high time to check the jungle and find out where Charlie is creeping out from. Forward, soldiers!
#54058: 	#ame to speak with Lim the hunter
	
	
	
	
	
	
	
	
#54070: 	#ame to speak with Nguyen.
#54071: 	#ame Assume positions on the other side of the gorge
#54072: 	#ame Give Bronson the order to destroy the bridge
#54073: 	#ame to give the order to detonate the bridge
#54074: 	#ame Kill the Vietcong who prepared the ambush
#54075: 	#ame Hanging Bridge
#54076: 	#ame You are heading to the Vietcong position near the Jarai village. Lim the hunter will lead you. Go for it, soldiers!
#54077: 	#ame Find the enemy position lead by the native guide.
#54078: 	#ame Kill the enemy.
#54079: 	#ame Move to LZ Echo Zulu and wait for the Slick. 
#54080: 	#ame Hanging Bridge
#54081: 	#ame The enemy is all over the jungle. So looking for them will not be a problem. But you will have to look harder to find the place that Lim the hunter talked about earlier.
#54082: 	#ame Hanging Bridge
