#100: 	#ame  Not available in demo
#101: 	#ame  Game inactive - waiting for both sides
#102: 	#ame  US
#103: 	#ame  VC
#104: 	#ame  to take ammo
#105: 	#ame  Ammo full
#106: 	#ame  You have to drop
#107: 	#ame  to pick up
#108: 	#ame  You already have
	
#111: 	#ame M16a1 Assault Rifle
#112: 	#ame AK-47
#113: 	#ame M16a2M203
#114: 	#ame M14 Rifle
#115: 	#ame MAT 49
#116: 	#ame K-50M Vietcong
#117: 	#ame Colt M1911
#118: 	#ame Makarov Automatic Pistol
#119: 	#ame Tokarev Automatic Pistol
#120: 	#ame Remington 870
#121: 	#ame Winchester 70
#122: 	#ame M21 Sniper Rifle
#123: 	#ame Dragunov SVD
#124: 	#ame Simonov SKS 
#125: 	#ame Grenade
	
#151: 	#ame Cal. 5.56x39mm NATO
#152: 	#ame 40mm Grenade
#153: 	#ame 7.62x39mm CCCP
#154: 	#ame Cal. 7.62x51mm NATO
#155: 	#ame 9mm CCCP 
#156: 	#ame 7.62mm Russian Pistol
#157: 	#ame Cal. 45, US Pistol
#158: 	#ame Cal. 38, US Pistol
#159: 	#ame Shotgun Shell
#160: 	#ame 30-06 American Army
#161: 	#ame 7.62-54R (CCCP)
	
	
	
	
	
	
	
	
	
	
	
	
#7200: 	#ame Stereo speakers
#7201: 	#ame Quadraphonic speakers
#7202: 	#ame 5.1 surround speakers
#7203: 	#ame Stereo headphones
#7205: 	#ame Test audio
#7206: 	#ame Tests that the speakers are working correctly
#7210: 	#ame Soundcard
#7211: 	#ame All hardware channels
#7212: 	#ame 3D hardware channels
#7213: 	#ame EAX version
#7214: 	#ame Default
#7215: 	#ame Reset sound options to default settings
#7220: 	#ame Sound quality
#7221: 	#ame Music volume
#7222: 	#ame Sfx volume
#7223: 	#ame Output
#7224: 	#ame Audio setup
#7225: 	#ame Reverse stereo
#7226: 	#ame Disable EAX
#7230: 	#ame Voice communication
#7231: 	#ame Control method
#7232: 	#ame Microphone
#7233: 	#ame Input level
#7234: 	#ame +20dB boost
#7235: 	#ame Enable
#7236: 	#ame Test Mic
#7237: 	#ame Stop Test
#7240: 	#ame Push a key to start speaking
#7241: 	#ame Autodetect by the input level
#7245: 	#ame Select speaker setup
#7250: 	#ame Select the quality of in-game sound
#7251: 	#ame Changes the music volume
#7252: 	#ame Changes the Sfx volume
#7253: 	#ame Hint to Output
#7255: 	#ame Reverses stereo output
#7256: 	#ame Disable usage of EAX sound extension (you must restart Vietcong to apply this change)
#7261: 	#ame Selects method of multiplayer voice chat initialisation
#7262: 	#ame Changes the mic volume level
#7263: 	#ame Changes minimum input level for multiplayer voice chat initialisation
#7264: 	#ame Applies a +20dB boost to the mic
#7265: 	#ame Enables multiplayer voice chat (microphone required)
#7266: 	#ame A quick check to see that the "volume" and "input" levels work well for voice chat
#7267: 	#ame Press this button to stop the test
	
	
	
#7300: 	#ame Back
#7301: 	#ame Previous menu
#7302: 	#ame Confirm
#7303: 	#ame Confirm your changes
#7304: 	#ame General options
#7305: 	#ame Default
#7306: 	#ame Reset General Options to default settings
#7322: 	#ame Show subtitles
#7323: 	#ame Turns subtitles on/off
#7324: 	#ame Show hint windows
#7325: 	#ame Turns in-game hint windows on/off
#7326: 	#ame Crosshair shape
#7327: 	#ame Change the shape of the crosshair
#7328: 	#ame Crosshair color
#7329: 	#ame Change the crosshair color
#7330: 	#ame Level of blood
#7331: 	#ame Change the level of in-game blood
#7332: 	#ame Reality switch
#7333: 	#ame Add realism by removing HUD items
#7334: 	#ame Whistle after explosion
#7335: 	#ame Enable or disable whistle in ears after near explosion
	
	
#7342: 	#ame off
#7343: 	#ame on
#7344: 	#ame off
#7345: 	#ame on
#7346: 	#ame Cross
#7347: 	#ame Dot
#7348: 	#ame Cross and Dot
#7349: 	#ame X cross
#7321: 	#ame none
#7350: 	#ame White
#7351: 	#ame Yellow
#7352: 	#ame Green
#7353: 	#ame Red
#7354: 	#ame Blue
#7355: 	#ame None
#7356: 	#ame Medium
#7357: 	#ame Real
#7358: 	#ame All HUD
#7359: 	#ame No radar
#7360: 	#ame No HUD
#7361: 	#ame Disable
#7362: 	#ame Enable
	
#165: 	#ame Bamboo helmet
#166: 	#ame Camo Helmet
#167: 	#ame Black hat
#168: 	#ame Bamboo hat
#169: 	#ame Helmet
#170: 	#ame Local guerilla VC
#171: 	#ame Local guerilla VC
#172: 	#ame Black pajamas VC
#173: 	#ame Black pajamas VC
#174: 	#ame Green beret
#175: 	#ame Hat
#176: 	#ame Tiger hat
#177: 	#ame Green hat
#178: 	#ame Green cap
#179: 	#ame Cowboy hat
#180: 	#ame Crocker
#181: 	#ame Bronson
#182: 	#ame Hornster
#183: 	#ame Hawkins
#184: 	#ame None
	
	
	
#320: 	#ame Singleplayer
#321: 	#ame Select to play single player mode
#322: 	#ame Multiplayer
#323: 	#ame Join or create a multiplayer game
#324: 	#ame Options
#325: 	#ame Configure your controls, audio, video setup and general game options.
#326: 	#ame Quit
#327: 	#ame Quit Vietcong
	
#328: 	#ame New Campaign
#329: 	#ame Select to start a new singleplayer campaign
#330: 	#ame Easy
#331: 	#ame Normal
#332: 	#ame Hard
#333: 	#ame Vietnam
#334: 	#ame Back
#335: 	#ame Previous menu
#336: 	#ame Tutorial
#337: 	#ame Select to start training missions
#338: 	#ame Single Mission
#339: 	#ame Single Missions taken from the singleplayer campaign
#340: 	#ame Quick fight
#341: 	#ame User defined action battles (play singleplayer campaign to unlock more levels / weapons)
#342: 	#ame Load
#343: 	#ame Load saved game
	
#344: 	#ame Lan
#345: 	#ame Play Vietcong over a Local Area Network
#346: 	#ame Internet
#347: 	#ame Play Vietcong over the Internet
#348: 	#ame Direct connection
#349: 	#ame Connect to known IP and port
#350: 	#ame Player
#351: 	#ame Personal preferences (name and appearance)
	
#352: 	#ame General
#353: 	#ame Configure general options
#354: 	#ame Video
#355: 	#ame Set video options
#356: 	#ame Audio
#357: 	#ame Set audio options
#358: 	#ame Controls
#359: 	#ame Customize controls
	
#360: 	#ame Yes
#361: 	#ame Quit Vietcong
#362: 	#ame No
#363: 	#ame Return to main menu
	
#364: 	#ame Return to game
#365: 	#ame Continue playing
	
#366: 	#ame Continue
#367: 	#ame Load your last save game and continue playing
	
	
	
	
#7400: 	#ame Graphics options
	
	
#7401: 	#ame Default
#7402: 	#ame Reset Graphics Options to default settings
#7410: 	#ame Effects
#7411: 	#ame Changes the level of in-game graphical effects
#7412: 	#ame Character detail
#7413: 	#ame Changes the level of character detail
#7414: 	#ame Gamma correction
#7415: 	#ame Adjusts brightness of the screen
	
	
	
	
	
#8100: 	#ame Basic
#8101: 	#ame Advanced
#8102: 	#ame Settings
#8105: 	#ame Control type
#8106: 	#ame Keyboard+Mouse
#8107: 	#ame Keyboard only
#8108: 	#ame Joystick
#8110: 	#ame Basic actions
#8111: 	#ame Key
#8112: 	#ame Alternate
#8113: 	#ame Default
#8114: 	#ame Save As
#8115: 	#ame Load
#8116: 	#ame Confirm
#8117: 	#ame Back
#8118: 	#ame (Warnings)
#8119: 	#ame Warning: conflict with
#8120: 	#ame Category
#8121: 	#ame Action
#8122: 	#ame Action name:
#8123: 	#ame Set default
#8124: 	#ame Clear
#8125: 	#ame Define
#8126: 	#ame Define...
#8127: 	#ame Clear all
#8130: 	#ame Crosshair
#8131: 	#ame Autoaim
#8132: 	#ame Look spring
#8133: 	#ame Look strafe
#8134: 	#ame Mouse sensitivity
#8135: 	#ame Reverse mouse
#8136: 	#ame Mouse look
#8137: 	#ame Mouse filter
#8138: 	#ame Keyboard turn speed
#8139: 	#ame Joystick look
#8140: 	#ame Set inventory ...
	
#8200: 	#ame Basic
#8201: 	#ame Movement
#8202: 	#ame Actions
#8203: 	#ame Weapons
	
#8204: 	#ame Items
#8205: 	#ame Commands
#8206: 	#ame Menus
#8207: 	#ame Multiplayer
#8210: 	#ame Developer
	
#8220: 	#ame Forward
#8221: 	#ame Backward
#8222: 	#ame Strafe Left
#8223: 	#ame Strafe Right
#8224: 	#ame Lean Left
#8225: 	#ame Lean Right
#8226: 	#ame Crouch
#8227: 	#ame Jump
#8228: 	#ame Lie
#8229: 	#ame Walk
#8230: 	#ame Turn Left
#8231: 	#ame Turn Right
#8232: 	#ame Look Up
#8233: 	#ame Look Down
#8234: 	#ame Center View
#8235: 	#ame Shoot
#8236: 	#ame Aim
#8237: 	#ame Reload
#8238: 	#ame Change fire rate
#8239: 	#ame Use
#8240: 	#ame Drop
#8241: 	#ame Info
#8242: 	#ame Select side
#8243: 	#ame Knife
#8244: 	#ame Pistol
#8245: 	#ame Main weapon
#8246: 	#ame Equipment
#8247: 	#ame Grenade
#8248: 	#ame Trapkit
#8249: 	#ame Lightstick
#8250: 	#ame Medkit
#8251: 	#ame Command menu
#8252: 	#ame Call Pointman
#8253: 	#ame Call Medic
#8254: 	#ame Call Engineer
#8255: 	#ame Call Radioman
#8256: 	#ame Call Machinegunner
#8257: 	#ame Weapon9
#8258: 	#ame Map
#8259: 	#ame Prev weapon
#8260: 	#ame Next weapon
#8261: 	#ame Show Intel
#8262: 	#ame Commence voice-chat
#8263: 	#ame Flash light
#8264: 	#ame Quick Save
#8265: 	#ame Quick Load
#8266: 	#ame Binoculars
#8267: 	#ame Inventory
#8268: 	#ame Select class
#8269: 	#ame Chat all
#8270: 	#ame Chat team
#8271: 	#ame Last used weapon
#8272: 	#ame Communication 1
#8273: 	#ame Communication 2
#8274: 	#ame Communication 3
#8275: 	#ame Communication 4
#8276: 	#ame Communication 5
#8277: 	#ame Communication 6
#8278: 	#ame Communication 7
#8300: 	#ame Turbo
#8301: 	#ame Jet Pack
	
	
	
#8280: 	#ame Move forward. Other keys influence the movement if running, walking etc. This key is also used as a throttle key when driving a vehicle.
#8281: 	#ame Move backwards. This key is also used for braking and reversing when driving a vehicle.
#8282: 	#ame Move left without turning to the side. When driving a vehicle, this key is used for turning.
#8283: 	#ame Move right without turning to the side. When driving a vehicle, this key is used for turning.
#8284: 	#ame This key is used if you want to look around with the keyboard. If mouselook is enabled, you can look around just with the mouse. 
#8285: 	#ame This key is used if you want to look around with the keyboard. If mouselook is enabled, you can look around just with the mouse. 
#8286: 	#ame This key is used if you want to look around with the keyboard. If mouselook is enabled, you can look around just with the mouse. 
#8287: 	#ame This key is used if you want to look around with the keyboard. If mouselook is enabled, you can look around just with the mouse. 
#8288: 	#ame This key is used if you want to look around with the keyboard. If mouselook is enabled, you can look around just with the mouse. 
#8289: 	#ame Jumping when running gets more distance. Keep in mind that your shooting accuracy is low when you are jumping.
#8290: 	#ame Press this key quickly to switch between stand/crouch mode, hold this key if you want to stay crouched. Always use crouch to hide behind obstacles as together with the Aim key, you can look over obstacles. Your accuracy is better when you are crouching.
#8291: 	#ame Good for a cautious look around the corner to the left. You can shoot when leaning.
#8292: 	#ame Good for a cautious look around the corner to the right. You can shoot when leaning.
#8293: 	#ame Press this key quickly to switch between running/walking mode. Hold this key to perform opposite action of your actual mode.
#8294: 	#ame Fire your weapon. Remember that if you are not holding the Aim key at the same time, you are shooting from the hip and your shooting accuracy is very low. When you have an item in your hands, you will use it with this key.
#8295: 	#ame Aim the weapon, which means you look over an obstacle, you are more concentrated on the target (zoom) and your shooting accuracy is higher. With some items this key performs a different action.
#8296: 	#ame Reload weapon. Remember that you never throw away any bullets that are left in magazines you are reloading. They will be used later.
#8297: 	#ame Single shot or automatic, not all weapons have the possibility to switch fire modes
#8299: 	#ame Interact with objects or characters as well as picking up weapons
#8339: 	#ame Drop weapon or item. Some items can't be dropped.
#8302: 	#ame Squad orders menu.
#8303: 	#ame Multiplayer results table
#8304: 	#ame Pick side, US or VC
#8305: 	#ame Knife. You can't drop your knife.
#8306: 	#ame Hand gun - you can carry only one, but you could have ammunition for more.
#8307: 	#ame Main weapon - you can carry only one main weapon, but you could have ammo for more weapons. You should drop your weapon to pickup another one.
#8308: 	#ame Equipment - player can hold one extra item (medicbag, radio, ammobag, etc.) or one special weapon (M-79 etc.)
#8309: 	#ame Grenade. You must press Fire to remove the pin to activate a 5 second time fuse and then throw the grenade overhead by using the Fire key or roll it along the ground by using the Aim key. Remember that you should throw the grenade before it explodes.
#8310: 	#ame Trapkit is equipped only in multiplayer for Engineer/Sapper class. To use trap kit, select trap and press the fire button to set the first peg.  Move short distance and press the fire button again to set the second peg. Trap is complete.
#8311: 	#ame Lightstick is equipped only in singleplayer tunnel missions. You use it by pressing the fire button. The stick will crack and be dropped on the ground. Once on the ground it will glow.
#8312: 	#ame Medkit is a small first aid kit, which every soldier can use. You can use it on other characters (press fire button when near them) or on you (hold Aim and press the fire button)
#8313: 	#ame Call squad member - Pointman
#8314: 	#ame Call squad member - Medic
#8315: 	#ame Call squad member - Engineer
#8316: 	#ame Call squad member - Radioman
#8317: 	#ame Call squad member - Machinegunner
#8318: 	#ame Reverse mouse
#8319: 	#ame Mouse look
#8320: 	#ame Filtered mouse info
#8321: 	#ame Mouse sensitivity
#8322: 	#ame Keyboard sensitivity
#8323: 	#ame Voice communication
#8324: 	#ame Special items
#8325: 	#ame Special items
#8326: 	#ame Use previous weapon in inventory
#8327: 	#ame Use next weapon in inventory
#8328: 	#ame Hidden items
#8329: 	#ame Torch
#8330: 	#ame Quick save
#8331: 	#ame Quick load
#8332: 	#ame Use binoculars
#8333: 	#ame Check inventory
#8334: 	#ame Choose soldier type
#8335: 	#ame Send message to everyone playing
#8336: 	#ame Send message to your team only
#8337: 	#ame Last weapon you were holding
#8338: 	#ame Lie down, crawl
	
	
	
#8400: 	#ame Active profile:
#8401: 	#ame Delete
#8402: 	#ame Load
#8403: 	#ame Saved games
#8404: 	#ame Delete all
#8410: 	#ame Play
#8411: 	#ame Single missions
#8412: 	#ame Difficulty:
#8413: 	#ame Easy
